Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
TCGA-A3-3335-01A,0.0456211032890534,0,0,0.063664871333087,0,0.418195664602429,0.0146733060015182,0,0.00415181425520635,0,0,0,0.0656602990637852,0.0664878305513697,0.0547274454469408,0.184384738465194,0,0.00835848825358063,0.0338320627099115,0,0,0.0402423760279239,0.228,0.0734918848873058,1.06081901859898
TCGA-BP-4351-01A,0.0052165700499687,0,0.00441176521504288,0.184016583601378,0,0.245699260865214,0,0.0149593587636582,0.00882933312045472,0,0.0965556767142952,0.0229410311799582,0.0952842131199573,0,0.0678255335977991,0.219074763351497,0,0,0.0351859104207762,0,0,0,0.117,0.106069782660631,1.0545544606876
TCGA-BP-4335-01A,0.11656599376175,0,0.147271526005352,0.269361847383032,0,0.0915999982430346,0.00734078830036135,0.0719138996217338,0.0137368128996147,0,0,0.0217737744048067,0.010688469412419,0,0.130236676639635,0.106827555803979,0.0099728594635346,0,0.00259555744502103,0,0,0.000114240615726917,0.001,0.405571298490236,0.919888995724262
TCGA-B0-4824-01A,0.00327344834155575,0,0.00792925909393715,0.429718826204028,0,0.108777000816068,0.0117316040095566,0.0361656918101285,0.0454841818608116,0,0,0.066572337942584,0.0302157445011239,0,0.101035954558472,0.091624810272799,0.0230224546052533,0,0.042587734431277,0,0.00186095155240543,0,0.044,0.176139281627157,1.04964882744869
TCGA-B8-4154-01A,0.00920640665626516,0,0.00216322772861049,0.314626110291751,0,0.0382939528347263,0.0146723898766045,0.0107097409164038,0,0.00632670796833556,0.0247637757597334,0.0259710211016002,0.037582988198452,0,0.150465299239545,0.280661721498311,0.0342183207264307,0,0.0369778165030163,0,0.00411996607279114,0.00924055462742407,0.015,0.244446172334048,0.994440379681041
TCGA-CW-5589-01A,0.0615565177347422,0,0.0281028577079797,0.0796281282839812,0,0.108959608323289,0.0227945463318481,0,0.0119282047200697,0,0.0389129666381574,0.00828657107425672,0.0245887359156443,0.109425212107578,0.0445519220406951,0.381690187685931,0.0358315156306396,0,0.0400582533242946,0,0,0.00368477248089314,0.00600000000000001,0.287898864232278,0.966501037354522
TCGA-CJ-4890-01A,0.0955873799333737,0,0.0655241023738227,0.249370332609708,0,0.146203571889111,0.0259070360932757,0.0136171893764455,0.0211832658671216,0,0,0.0205901131944875,0.0054037869007712,0.0476136619673142,0.0447537494862646,0.203059421136406,0.00277841428333713,0,0.0483821718576535,0,0,0.0100258030309077,0.005,0.293472535566899,0.96523810401494
TCGA-BP-4807-01A,0.0240689854830132,0,0.000496526635433947,0.0519623680352063,0,0.119839598060538,0,0.00371855154016802,0.00126894548911693,0.00722750823353843,0,0.0188209838537784,0.0588274965282856,0.00473854947448405,0.0531659481857091,0.55663223921383,0,0.0204808435882571,0,0.0482947596084597,0.000238833523907773,0.0302178625462735,0.003,0.301932248990679,0.969138645593017
TCGA-B8-4621-01A,0.0290430858874363,0,0,0.00595619748220103,0,0.105548486277457,0.00411536993424464,0,0.0168410356383847,0.00157921440572186,0,0.0216205597544805,0.10051114719694,0.103198579505698,0.0376042275181179,0.438385350667094,0,0,0.111493815045715,0,0,0.0241029306865091,0.00700000000000001,0.279160710453856,0.976175277915411
TCGA-CJ-4884-01A,0.0236348581523374,0,0.00617864934901101,0.214830093098109,0,0.237395317312045,0,0.0290692927736137,0.0303087382319905,0.00637684753677388,0,0.054448261451795,0.0134728800320934,0.0330228698071732,0.0774795879078362,0.214068492974846,0.00541044870488728,0.00250224763487453,0.0459271776837821,0,0.00452517796968016,0.00134905937915087,0.018,0.230414164848554,0.999621150985497
TCGA-BP-4331-01A,0.0246172453814046,0,0.00970633694879932,0.148853259066184,0,0.205346988740023,0,0.021247673518644,0.0328884060555252,0,0,0.00290015331196146,0.150241590255019,0,0.0767446809976635,0.269588756221355,0.00103020043965573,0,0.0494664906946026,0,0,0.00736821836916296,0.003,0.309319275014929,0.956361577414095
TCGA-DV-5575-01A,0.04179066285564,0,0.00539845132751053,0.258010426822332,0,0.250597291292739,0,0.00531659058295864,0.0142460483526126,0.0308952315943592,0,0.0166032529436154,0.0303084622640625,0,0.136443361442091,0.184490328311987,0.0177266886286247,0,0,0,0.00580405682747332,0.00236914675399381,0.017,0.233761538298263,1.00679184993159
TCGA-DV-5569-01A,0.0355812178229485,0,0.00853922971596854,0.153294457099165,0,0.221765598154289,0.00563992697967882,0,0.0411327695651859,0.0531839411109523,0,0.0144425493909713,0.0587518935013303,0.0263181767224471,0.132545366319482,0.222093753212272,0.0102791486232555,0,0.00684991707457138,0,0,0.00958205470748179,0.018,0.229530431707202,0.998471434073481
TCGA-CJ-5675-01A,0.00760385346953432,0,0.00471239440300034,0.611989697188669,0,0,0.0134219433909239,0.0245702780063548,0.0438275820466985,0.0939645537042635,0,0.0334787610429421,0.0132536144274698,0,0.0508125940381522,0.0798660884758757,0.0120104701591717,0,0.00794827202598192,0,0.00158437819393286,0.000955519427029674,0,0.56154770045436,0.830322042402715
