Mixture,IL12A,IL12B,IL2,IL10,IL6,IFNG,HMGB1,PDCD1,PDCD2,PDCD1LG2
TCGA-CJ-5677-11A,0.005276471255764809,0.006101099365349968,0.0,0.010596483300909258,0.139077555208276,0.00255948015324505,0.2999137828219806,0.021444108680244826,0.19299337860773366,0.07052448861365994
TCGA-DV-5574-01A,0.026486008001163464,0.006130667077699072,0.0030668513051939103,0.07225495001868434,0.17794779297389607,0.0613260300986052,0.38171747628216207,0.09325054852726934,0.21271695868005264,0.18667884610241944
TCGA-B2-4102-01A,0.01595200753571185,0.02117684652674824,0.0016372083929271609,0.023397127162722048,0.007744927985153369,0.024318191068747674,0.34722618500076075,0.053318765479859975,0.2099929792528834,0.1188708379771323
TCGA-CJ-5678-11A,0.007035416555177202,0.002660619825110345,0.0,0.01332608351786016,0.02119608263647587,0.0012155437995857658,0.2718209446778756,0.016747731521362517,0.17469627609892496,0.06452193793434215
TCGA-AK-3456-01A,0.006883917100253459,0.0,0.0,0.01904611364232586,0.003937441301786967,0.0016913606347849124,0.27065321872477993,0.01627267153502759,0.20408757072288397,0.07827660840256513
TCGA-EU-5907-01A,0.0057499885047632366,0.001082717252243339,0.0,0.0387005468949955,0.09225764466415004,0.009482831751139066,0.4005193256142801,0.023212170380768928,0.17696090520949506,0.12833062039885898
TCGA-A3-3372-01A,0.01720209109422477,0.012964430886182291,0.004535749352362784,0.04280956005507998,0.027207547261791247,0.04286092957966309,0.3493304577753432,0.09863865668815984,0.19396772148546304,0.15743466115292953
TCGA-CJ-4872-01A,0.02145341323929384,0.005323908114446735,0.021566278999639425,0.04309512300139348,0.1555990808141754,0.06307527705061412,0.3560968119424185,0.060736188155978324,0.19676649303213145,0.12691060434651494
TCGA-A3-A8OW-01A,0.02620676117005593,0.0,0.005621154304917371,0.020782888705249792,0.008983779526554677,0.022340498188413063,0.38490621788594176,0.1795769798963357,0.21892057799298328,0.1385021317605941
TCGA-CW-5580-01A,0.00524321183789709,0.005796477241343125,0.005954939436174223,0.023048424432603756,0.07969669574137486,0.0011183451230030762,0.3638607417056627,0.026396442142236038,0.22490557451730056,0.14822812463756982
TCGA-BP-4992-01A,0.019257779572069943,0.022548215555094384,0.027085999393624847,0.017726614240823137,0.035774135035544975,0.0675600877244361,0.27629092998593124,0.22564449504985246,0.15214656017595551,0.06630016242718485
TCGA-CJ-5683-01A,0.02033939948898844,0.0006905376269795517,0.0,0.027033219201680597,0.06776052895863381,0.01323923943947765,0.3348772568157846,0.039319525864476866,0.19904919238504415,0.06442428637012848
TCGA-CJ-4878-01A,0.010326416729904943,0.0,0.008443307495639183,0.012858221979912814,0.0896390517510275,0.005889636154049211,0.361999046638017,0.028377996304163107,0.18486978854878092,0.08463240076543699
TCGA-B4-5836-01A,0.0101040798309835,0.0,0.0015933531146600315,0.016069503801738973,0.06216400678225641,0.027413612887336517,0.3808974182118301,0.0640941701704373,0.2255138069837869,0.102245167302972
TCGA-B2-5635-01B,0.013448482258077491,0.003923246553609001,0.0,0.023026995540900503,0.011712688709983734,0.08415922693908133,0.3147619195333004,0.08689146571985988,0.21458740680243926,0.19069997594602844
TCGA-CZ-5465-11A,0.01990682182825452,0.004975118188670996,0.001136917550205141,0.023609748269909542,0.1450706339900128,0.003103827576555141,0.3492436870051864,0.0017996308433248344,0.22378770667236314,0.049059695012678636
TCGA-BP-4162-01A,0.017456995005541,0.02363225976102739,0.003779133307228436,0.08032459950325736,0.131861455852228,0.10989261004168116,0.3468524178608505,0.1953780847318454,0.1970792052754953,0.17220587777353513
TCGA-BP-4963-01A,0.007794528943055021,0.012388724964994931,0.0029101013169655645,0.04256020389424328,0.03144012918847011,0.028307753882390874,0.3409572392246989,0.10084528013399102,0.16312019221253896,0.10271213878625522
TCGA-DV-5573-01A,0.01959530166225393,0.01805378916119647,0.005445467753751932,0.043077109400822426,0.06455134979664576,0.16877977566045194,0.37877882131200136,0.28441008069115004,0.2027798496496554,0.1590263175590419
TCGA-BP-4341-01A,0.016179877067072152,0.0,0.0015144303789676244,0.014433362482929491,0.043391341674433766,0.005454889505001961,0.3175499397246715,0.0183762264688384,0.1854121174976415,0.05210110767388599
TCGA-B0-4837-01A,0.012246660670182274,0.0019064214132150173,0.009075124735899559,0.03703028384290141,0.375857330171994,0.008367333115313454,0.3129765345682777,0.049835595972497766,0.1539635604045939,0.07326765361343758
TCGA-A3-3387-01A,0.010689168861505992,0.00619372199533071,0.011928063074584385,0.04636200663812741,0.04112676227995521,0.012308141305988828,0.392301904989468,0.05268833695823612,0.2431777911417609,0.14462732026863215
TCGA-CZ-5456-01A,0.012583508842989205,0.006372713646353028,0.009311582766500478,0.05367048296439243,0.1838701075958477,0.005793249836414904,0.3335580538334544,0.077992276067752,0.1765398789400491,0.1182205839700288
TCGA-B4-5835-01A,0.0037491879361657037,0.0023244382671978718,0.005643632561526472,0.012939138121873014,0.032113989893059684,0.0101444003732204,0.27224043781762186,0.07700260433100051,0.1456836767234151,0.035837943286427164
TCGA-CJ-4888-01A,0.022496349439942574,0.002619286515941613,0.015753941625627415,0.04201543626771022,0.2722202595660993,0.1514280820772271,0.33475471260080897,0.2434275735400784,0.20191063582684896,0.15350678064509787
TCGA-B0-5705-11A,0.01903473929114833,0.0035529050180984493,0.0,0.037910812999817405,0.15428847719588398,0.0011645230757147467,0.28732815276092066,0.012656103078541174,0.17982864340660698,0.0536727436084696
TCGA-AK-3465-01A,0.0034676866913318184,0.09068380632949234,0.0012791812914347135,0.0,0.006069304563733846,0.002337222202806165,0.2871393150567412,0.009708321743274238,0.1655487145618196,0.025009188199224208
TCGA-A3-3387-11A,0.0025903078540226577,0.0006442901636323932,0.0015821700726473074,0.008634315757240002,0.02765777607189273,0.0014545115813976058,0.2836439284778442,0.007320120703484356,0.19967671850060514,0.0543426101231153
TCGA-AK-3461-01A,0.02216583965103537,0.007022290804123936,0.008601421333477084,0.023819975329284492,0.048291868100810736,0.05420959575501138,0.3775910852744224,0.09563201856875284,0.19205770947445208,0.0909649894005216
TCGA-B0-4694-01A,0.01383970369260694,0.008170685884814866,0.0058243133170918894,0.07524740013880424,0.06071697026683225,0.12474669381319585,0.353150590110455,0.1777886143626368,0.17396772476627312,0.19108545403686805
TCGA-BP-4173-01A,0.03679719964100042,0.04709704555581981,0.009292092941355969,0.1352243838988459,0.16891926382505448,0.18276089733647705,0.3739592488138685,0.336825984403224,0.21549886698595425,0.24060114032648255
TCGA-B0-5083-01A,0.00625329714432776,0.03960770448650928,0.00492042087751907,0.027155607675494,0.028164465218837993,0.011631222939678313,0.2690439516475389,0.07125424179207067,0.16789560129377976,0.10693200662537464
TCGA-B0-4810-01A,0.018976359443325826,0.007977108813353286,0.009041483619177709,0.06859598686020567,0.2627215402561614,0.13530542481265762,0.3968700249768889,0.21800300101487355,0.19709218406506449,0.16516362715348726
TCGA-CZ-5458-01A,0.005993410989331076,0.003911891800443371,0.0054761383830517,0.003131398014211202,0.0268150322167219,0.013342457269679132,0.35202325637886545,0.1139132807388004,0.21453348463505956,0.1266030266396499
TCGA-B0-4696-01A,0.017101264109723794,0.05429625357991938,0.0,0.018761205122343326,0.06728845659778854,0.0,0.3885647571787205,0.004967979716734368,0.1875103600382412,0.021688915801658985
TCGA-BP-4989-01A,0.019288002822866482,0.010419105763595029,0.010077988432576028,0.06846399856298918,0.01692770311166928,0.1751853451766857,0.323963449868414,0.23364619399198586,0.1903207178167276,0.12301939722392635
TCGA-CW-5587-01A,0.015586515343765725,0.017994475371659432,0.0031552225946529216,0.07456629942836658,0.024154572312500518,0.13264411707663665,0.3745261636898692,0.23530801889618386,0.22309383039479888,0.1992624774514633
TCGA-AK-3454-01A,0.006418706733608047,0.0,0.0,0.01671468159885767,0.17393520503215348,0.0438667087611747,0.30382595692288994,0.07863920894617996,0.1607083298448511,0.0529466686812013
TCGA-B0-4814-01A,0.013266703551914668,0.007898518703022715,0.0036149009752300867,0.013657345317403998,0.16402987518238046,0.01569069950287301,0.3465160731159294,0.03676071978712888,0.2125082139654156,0.054246055340375895
TCGA-B0-4849-01A,0.012160449888885264,0.005565288477219448,0.0,0.027865931111464275,0.024794937528993703,0.014121865243567773,0.3626997762392921,0.106377164858695,0.1884810736384398,0.07638953152430407
TCGA-CZ-4864-11A,0.004846583392183571,0.0036039169386744897,0.0,0.009746944651555416,0.05198377285160746,0.0030719312624758843,0.27940078247019884,0.03279629235302765,0.18107908378114013,0.06820002493684936
TCGA-B0-5095-01A,0.026187355569262747,0.003939350781785975,0.0038887776784080007,0.06422336600871732,0.2428940604729332,0.16149035646169152,0.3859599273984096,0.13606011341912255,0.2245536572224734,0.13910525581877314
TCGA-CZ-5984-11A,0.004279674147423901,0.005753152527511584,0.0,0.0318013605470104,0.13226940698207235,0.002412431621774009,0.3089765788810173,0.031068495018046205,0.18594399157030125,0.05154595930800265
